stdDev,lon,region,lat,system:index,sample_id
0.09243277838933904,-78.941133,duke,36.002672,0000000000000000005b,48
0.09243277838933904,-78.941133,duke,36.002672,0000000000000000005c,6
0.09243277838933904,-78.941133,duke,36.002672,0000000000000000005d,1
0.09243277838933904,-78.941133,duke,36.002672,0000000000000000005e,4
0.09243277838933904,-78.941133,duke,36.002672,0000000000000000005f,2
0.07421464696316081,-78.9577957615,duke,36.0184954104,0000000000000000008a,72
0.07097668441001981,-78.9663976058,duke,36.0117595424,00000000000000000092,60
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,0000000000000000000c,H316
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,0000000000000000000d,H317
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,0000000000000000000e,H303
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,0000000000000000000f,H294
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,00000000000000000010,H299
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,00000000000000000011,H312
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,00000000000000000012,H296
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,0000000000000000002e,H319
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,0000000000000000002f,H314
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,00000000000000000030,H315
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,00000000000000000031,H310
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,00000000000000000032,H305
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,00000000000000000033,H311
0.06325884871888818,-80.26282508895763,guelph,43.55096438521732,00000000000000000034,H332
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000001a,H182
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000001b,H186
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000001c,H181
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000001d,H180
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000001e,H185
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000001f,H190
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000003c,H184
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000003d,H191
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000003e,H178
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,0000000000000000003f,H176
0.030689335783375904,-80.23736007053623,guelph,43.525028039125935,00000000000000000040,H179
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,00000000000000000005,H237
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,00000000000000000006,H168
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,00000000000000000007,H171
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,00000000000000000008,H172
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,00000000000000000009,H175
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,0000000000000000000a,H173
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,0000000000000000000b,H169
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,00000000000000000027,H170
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,00000000000000000028,H165
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,00000000000000000029,H239
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,0000000000000000002a,H161
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,0000000000000000002b,H162
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,0000000000000000002c,H236
0.04132837635021785,-80.15648145973384,guelph,43.545354627848894,0000000000000000002d,H166
0.042671601260547525,-80.24286183190006,guelph,43.53630097728895,00000000000000000013,H3
0.042671601260547525,-80.24286183190006,guelph,43.53630097728895,00000000000000000017,H1
0.042671601260547525,-80.24286183190006,guelph,43.53630097728895,00000000000000000018,H8
0.042671601260547525,-80.24286183190006,guelph,43.53630097728895,00000000000000000019,H6
0.042671601260547525,-80.24286183190006,guelph,43.53630097728895,00000000000000000035,H28
0.042671601260547525,-80.24286183190006,guelph,43.53630097728895,00000000000000000036,H5
0.042671601260547525,-80.24286183190006,guelph,43.53630097728895,00000000000000000038,H9
0.042671601260547525,-80.24286183190006,guelph,43.53630097728895,0000000000000000003b,H7
0.08170732925532458,-80.24435393189874,guelph,43.53896579088384,00000000000000000014,H66
0.08170732925532458,-80.24435393189874,guelph,43.53896579088384,00000000000000000015,H61
0.08170732925532458,-80.24435393189874,guelph,43.53896579088384,00000000000000000016,H58
0.08170732925532458,-80.24435393189874,guelph,43.53896579088384,00000000000000000037,H53
0.08170732925532458,-80.24435393189874,guelph,43.53896579088384,00000000000000000039,H49
0.08170732925532458,-80.24435393189874,guelph,43.53896579088384,0000000000000000003a,H57
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000020,H276
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000021,H279
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000022,H283
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000023,H278
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000024,H291
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000025,H285
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000026,H284
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000041,H281
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000042,H282
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000043,H286
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000044,H275
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000045,H289
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000046,H290
0.05872871573496047,-83.06595320182905,detroit,42.304948650752614,00000000000000000047,H280
